,TextID,Sentiment Scores,GPE Mentions
0,8476,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.4939}",Tehran
1,10294,"{'neg': 0.242, 'neu': 0.645, 'pos': 0.113, 'compound': -0.5267}",USA
2,10142,"{'neg': 0.266, 'neu': 0.591, 'pos': 0.143, 'compound': -0.3595}",UK
3,6903,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
4,7341,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}",Detroit
5,7041,"{'neg': 0.146, 'neu': 0.625, 'pos': 0.229, 'compound': 0.296}",Russia
6,7623,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}",USA
7,7737,"{'neg': 0.44, 'neu': 0.4, 'pos': 0.16, 'compound': -0.7088}",Russia
8,8716,"{'neg': 0.241, 'neu': 0.502, 'pos': 0.257, 'compound': 0.1111}",Russia
9,10348,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",US
10,6155,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Eastern Outlook
11,5743,"{'neg': 0.302, 'neu': 0.605, 'pos': 0.093, 'compound': -0.6705}",Iowa
12,7808,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.4767}",Russia
13,6484,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",Britain
14,7385,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",Syria
15,9016,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.593}",Russia
16,9324,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}",Washington DC
17,8983,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Mosul
18,8965,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Syria
19,5580,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}",US
20,9757,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",EU
21,5955,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",China
22,7455,"{'neg': 0.228, 'neu': 0.468, 'pos': 0.304, 'compound': 0.0772}",America
23,7793,"{'neg': 0.316, 'neu': 0.506, 'pos': 0.177, 'compound': -0.296}",Islamabad
24,9403,"{'neg': 0.1, 'neu': 0.849, 'pos': 0.05, 'compound': -0.3182}",North Carolina
25,5931,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.7096}",Russia
26,5937,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.6369}",America
27,7277,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
28,5521,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iraq
29,9360,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
30,6646,"{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.6249}",Russia
31,7540,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.
32,8212,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",Iran
33,6197,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Vagina
34,6061,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",Israel
35,9545,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
36,7744,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK
37,8177,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
38,7049,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",America
39,7801,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Wrong Direction
40,10232,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",LA
41,8290,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.0258}",Philly
42,6227,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Portland
43,5316,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4215}",Hollywood
44,5530,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Mosul
45,7680,"{'neg': 0.592, 'neu': 0.408, 'pos': 0.0, 'compound': -0.4404}",Oregon
46,10490,"{'neg': 0.0, 'neu': 0.348, 'pos': 0.652, 'compound': 0.8176}",Washington
47,9413,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.743}",US
48,8685,"{'neg': 0.547, 'neu': 0.0, 'pos': 0.453, 'compound': -0.1779}",Russia
49,6763,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3612}",Alabama
50,7730,"{'neg': 0.164, 'neu': 0.621, 'pos': 0.215, 'compound': 0.2263}",Texas
51,7362,"{'neg': 0.107, 'neu': 0.611, 'pos': 0.282, 'compound': 0.5106}",Syria
52,7513,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
53,6247,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}",U.S.
54,6025,"{'neg': 0.358, 'neu': 0.642, 'pos': 0.0, 'compound': -0.5994}",Maryland
55,10122,"{'neg': 0.585, 'neu': 0.415, 'pos': 0.0, 'compound': -0.9018}",Undemocratic
56,9398,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.1511}",Fulfilling
57,10427,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.5719}",Israel
58,7099,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Ukraine
59,8013,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
60,10092,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
61,9121,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
62,8122,"{'neg': 0.489, 'neu': 0.511, 'pos': 0.0, 'compound': -0.7717}",Syria
63,8988,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",Calais
64,8682,"{'neg': 0.233, 'neu': 0.679, 'pos': 0.088, 'compound': -0.4824}",France
65,6350,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",Montenegro
66,7818,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
67,6408,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
68,8357,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5267}",US
69,10511,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Turkey
70,8322,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
71,6212,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}",US
72,6920,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}",Mosul
