,TextID,Sentiment Scores,GPE Mentions
0,3608,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",Paris
1,875,"{'neg': 0.243, 'neu': 0.654, 'pos': 0.103, 'compound': -0.3612}",Britain
2,95,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
3,4869,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iowa
4,2909,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
5,1357,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}",America
6,988,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.7717}",W. Va.
7,1571,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Afghanistan
8,4739,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Orlando
9,3304,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}",South Carolina
10,3078,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Selma
11,2517,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}",America
12,778,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iraq
13,3300,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}",Belgium
14,636,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",San Francisco
15,755,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
16,626,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.4973}",Rubio
17,691,"{'neg': 0.296, 'neu': 0.609, 'pos': 0.096, 'compound': -0.6808}",Kasich
18,1787,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",Syria
19,1967,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.4588}",US
20,431,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
21,5224,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.4215}",US
22,2777,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.128}",Iran
23,587,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",Charleston
24,3027,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.1027}",Connecticut
25,4377,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}",Iran
26,3627,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",Ohio
27,909,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iraq
28,1522,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.6361}",Anbar
29,1834,"{'neg': 0.265, 'neu': 0.482, 'pos': 0.253, 'compound': -0.0258}",Iran
30,1775,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
31,3363,"{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.5267}",Israel
32,1084,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
33,4410,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",America
34,2669,"{'neg': 0.208, 'neu': 0.56, 'pos': 0.232, 'compound': 0.0772}",Russia
35,3648,"{'neg': 0.141, 'neu': 0.759, 'pos': 0.1, 'compound': -0.1546}",US
